Account Name,Type,18 Digit ID,Account ID,LE ID,Artist Name (pka or dba),Company Name,Legal Name,Primary Contact First Name,Primary Contact Last Name
Deshawn Raw,Artist,0011I00000H28OCQAZ,0011I00000H28OC,54120,Deshawn Raw,,Deshawn Raw,,
Maejor,Artist,0011I00000H28ODQAZ,0011I00000H28OD,54746,Maejor,,Brandon Green,,
This Boy That Girl,Artist,0011I00000H28OEQAZ,0011I00000H28OE,56350,This Boy That Girl,,"Alec King, Becca King",,
Matt Ryan King,Artist,0011I00000H28OFQAZ,0011I00000H28OF,57990,Matt Ryan King,,Matt Ryan King,,
Josh Devine,Artist,0011I00000H28OGQAZ,0011I00000H28OG,58458,Josh Devine,,Josh Devine,,
Ollie Green,Artist,0011I00000H28OHQAZ,0011I00000H28OH,58459,Ollie Green,,Ollie Green,,
Jamie Boy,Artist,0011I00000H28OIQAZ,0011I00000H28OI,59749,Jamie Boy,,Jamie Avecilla,,
Rishi Mehta Publishing,Artist,0011I00000H28OMQAZ,0011I00000H28OM,59758,Rishi Mehta Publishing,,Rishi Mehta,,
Malachi Cohen,Artist,0011I00000H28ONQAZ,0011I00000H28ON,60422,Malachi Cohen,,Malachi Cohen,,
Cesar Peralta,Artist,0011I00000H28OOQAZ,0011I00000H28OO,204002,Cesar Peralta,,Cesar Peralta,CESAR,PERALTA
Joshua Chery,Artist,0011I00000H28OPQAZ,0011I00000H28OP,60424,Joshua Chery,,Joshua Chery,,
DJ Rupp,Artist,0011I00000H28OQQAZ,0011I00000H28OQ,61643,DJ Rupp,,Dillon Rupp,,
Sammy & Skate,Artist,0011I00000H28ORQAZ,0011I00000H28OR,133772,Sammy & Skate,,"Sam Wilkinson, Nate Maloley",,
Jacobi Jackson,Artist,0011I00000H28OSQAZ,0011I00000H28OS,61646,Jacobi Jackson,,Jacobi Jackson,,
Urban Cone,Artist,0011I00000H28OUQAZ,0011I00000H28OU,64353,Urban Cone,,"Emil Gustafsson, Rasmus Flyckt, Magnus Folk",,
Skate,Artist,0011I00000H28OVQAZ,0011I00000H28OV,64659,Skate,,Nate Maloley,,
Hvntxr,Artist,0011I00000H28OWQAZ,0011I00000H28OW,65862,Hvntxr,,Hunter Bressan,,
Peter Pan,Artist,0011I00000H28OXQAZ,0011I00000H28OX,65863,Peter Pan,,Peter Phengrasmy,,
Andrew Bazzi,Artist,0011I00000H28OYQAZ,0011I00000H28OY,66059,Andrew Bazzi,,Andrew Bazzi,,
Chris Miles,Artist,0011I00000H28OZQAZ,0011I00000H28OZ,66614,Chris Miles,T3 Music Group,Chris Miles Marshak,,
TheBalcony,Artist,0011I00000H28OaQAJ,0011I00000H28Oa,67811,TheBalcony,,"Wesley Stromberg, Kenny Holland",,
Sammy Wilk,Artist,0011I00000H28ObQAJ,0011I00000H28Ob,72090,Sammy Wilk,,Sam Wilkinson,,
Kenny Holland,Artist,0011I00000H28OcQAJ,0011I00000H28Oc,72554,Kenny Holland,,Kenny Holland,,
Khalil,Artist,0011I00000H28OdQAJ,0011I00000H28Od,73638,Khalil,,Khalil Amir Sharieff,,
Trademark,Artist,0011I00000H28OeQAJ,0011I00000H28Oe,77283,Trademark,,,,
Bombs Away,Artist,0011I00000H28OfQAJ,0011I00000H28Of,77304,Bombs Away,,"Matthew Coleman, Thomas Coleman",,
Damn Daniel (Josh),Artist,0011I00000H28OgQAJ,0011I00000H28Og,77305,Damn Daniel (Josh),,,,
Garnet Silk Jr,Artist,0011I00000H28OhQAJ,0011I00000H28Oh,78541,Garnet Silk Jr,,Garnet Silk Jr,,
Sabrina Antoinette,Artist,0011I00000H28OiQAJ,0011I00000H28Oi,78658,Sabrina Antoinette,,Sabrina Antoinette,,
Mac Marley,Artist,0011I00000H28OjQAJ,0011I00000H28Oj,78659,Mac Marley,,,,
Ky-Mani Marley,Artist,0011I00000H28OkQAJ,0011I00000H28Ok,78660,Ky-Mani Marley,,Ky-Mani Marley,,
KD Young Cocky,Artist,0011I00000H28OlQAJ,0011I00000H28Ol,78661,KD Young Cocky,All Out Entertainment,Darius Luckett,,
Milanacus,Artist,0011I00000H28OnQAJ,0011I00000H28On,79207,Milanacus,,Milan Rothfeld,,
Greg Petersen (The AM),Artist,0011I00000H28OoQAJ,0011I00000H28Oo,79208,Greg Petersen (The AM),,,,
Josh Caine (The AM),Artist,0011I00000H28OpQAJ,0011I00000H28Op,79209,Josh Caine (The AM),,,,
Bryan Welch (The AM),Artist,0011I00000H28OqQAJ,0011I00000H28Oq,79210,Bryan Welch (The AM),,,,
Kiyah Mitchell,Artist,0011I00000H28OrQAJ,0011I00000H28Or,79295,Kiyah Mitchell,,,,
Tyler Thomas,Artist,0011I00000H28OsQAJ,0011I00000H28Os,79577,Tyler Thomas,All Out Entertainment,Tyler Thomas,,
Czech Games Edition,Artist,0011I00000H28OtQAJ,0011I00000H28Ot,79785,Czech Games Edition,,,,
DJ Twinbeatz,Artist,0011I00000H28OuQAJ,0011I00000H28Ou,133662,DJ Twinbeatz,Urban Indie Music,"Varinder Singh, Harinder Singh",,
Jacob Sartorius,Artist,0011I00000H28OvQAJ,0011I00000H28Ov,80118,Jacob Sartorius,T3 Music Group,Rolf Jacob Sartorius,,
G. Sidhu,Artist,0011I00000H28OwQAJ,0011I00000H28Ow,121961,G. Sidhu,Urban Indie Music,Gurkanwal S. Sidhu,,
MyTwist,Artist,0011I00000H28OxQAJ,0011I00000H28Ox,80313,MyTwist,,,,
Tej Gill,Artist,0011I00000H28OyQAJ,0011I00000H28Oy,80314,Tej Gill,,,,
SMG Group,Record Label,0011I00000H28OzQAJ,0011I00000H28Oz,80786,SMG Group,,,,
#CAKE,Artist,0011I00000H28P0QAJ,0011I00000H28P0,82506,#CAKE,,"Fred Foos,Julian Tipler,Michael Buchholz",,
Mickey Singh,Artist,0011I00000H28P1QAJ,0011I00000H28P1,,Mickey Singh,Urban Indie/Alternative Music,Harmanjit Singh,,
UpsideDown,Artist,0011I00000H28P2QAJ,0011I00000H28P2,82591,UpsideDown,,Ankit Malik,,
DJ Twin,Artist,0011I00000H28P4QAJ,0011I00000H28P4,83929,DJ Twin,Eyes Above Water,Laurence C. Butler,,
Algo,Artist,0011I00000H28P5QAJ,0011I00000H28P5,84128,Algo,,David Tamini,,
Arcane Booking,Record Label,0011I00000H28P7QAJ,0011I00000H28P7,84209,,Arcane Talent,,,
